"","word","cat","n","date"
"646","0,0,0","Programs",19,2023-12-20
"647","0,0,0","Regions",19,2023-12-20
"648","5_1","Regions",19,2023-12-20
"649","78,128,120,0.89","Programs",19,2023-12-20
"650","78,128,120,0.89","Regions",19,2023-12-20
"651","8,82,73,0.90","Programs",19,2023-12-20
"652","8,82,73,0.90","Regions",19,2023-12-20
"653","80px","About",19,2023-12-20
"654","blend","Learnings",19,2023-12-20
"655","body.uiwebview","Learnings",19,2023-12-20
"656","cf9a1c","Learnings",19,2023-12-20
"657","et_pb_bg_layout_light_phone","Learnings",19,2023-12-20
"658","et_pb_bg_layout_light_tablet","Learnings",19,2023-12-20
"659","et_pb_column.et_pb_column_1_4","Regions",19,2023-12-20
"660","et_pb_column_single","About",19,2023-12-20
"661","fade","About",19,2023-12-20
