"","cat","word","n","date","institution","tf","idf","tf_idf"
"129","Grants","sndt",12,2024-01-20,"IKEA Foundation ",0.000310518825203778,0.693147180559945,0.000215235248200785
"130","Grants","wsms",12,2024-01-20,"IKEA Foundation ",0.000310518825203778,0.693147180559945,0.000215235248200785
"131","Learnings","bradenbrink",39,2024-01-20,"IKEA Foundation ",0.000307906080750343,0.693147180559945,0.000213424231749363
"132","Learnings","east",39,2024-01-20,"IKEA Foundation ",0.000307906080750343,0.693147180559945,0.000213424231749363
"133","Learnings","resolutions",39,2024-01-20,"IKEA Foundation ",0.000307906080750343,0.693147180559945,0.000213424231749363
"134","Learnings","sex",39,2024-01-20,"IKEA Foundation ",0.000307906080750343,0.693147180559945,0.000213424231749363
"135","Learnings","vulnerability",39,2024-01-20,"IKEA Foundation ",0.000307906080750343,0.693147180559945,0.000213424231749363
"136","Learnings","regression",38,2024-01-20,"IKEA Foundation ",0.000300011053038796,0.693147180559945,0.000207951815550662
"137","Learnings","lmbs",37,2024-01-20,"IKEA Foundation ",0.000292116025327249,0.693147180559945,0.00020247939935196
"138","Learnings","mel",37,2024-01-20,"IKEA Foundation ",0.000292116025327249,0.693147180559945,0.00020247939935196
"139","Learnings","migration",37,2024-01-20,"IKEA Foundation ",0.000292116025327249,0.693147180559945,0.00020247939935196
"140","Grants","mki",11,2024-01-20,"IKEA Foundation ",0.000284642256436796,0.693147180559945,0.000197298977517386
"141","Grants","msde",11,2024-01-20,"IKEA Foundation ",0.000284642256436796,0.693147180559945,0.000197298977517386
"142","Grants","ncr",11,2024-01-20,"IKEA Foundation ",0.000284642256436796,0.693147180559945,0.000197298977517386
"143","Grants","prorail",11,2024-01-20,"IKEA Foundation ",0.000284642256436796,0.693147180559945,0.000197298977517386
"144","Grants","venues",11,2024-01-20,"IKEA Foundation ",0.000284642256436796,0.693147180559945,0.000197298977517386
"145","Grants","voor",11,2024-01-20,"IKEA Foundation ",0.000284642256436796,0.693147180559945,0.000197298977517386
"146","Learnings","annex",36,2024-01-20,"IKEA Foundation ",0.000284220997615702,0.693147180559945,0.000197006983153259
"147","Learnings","housing",36,2024-01-20,"IKEA Foundation ",0.000284220997615702,0.693147180559945,0.000197006983153259
"148","Learnings","raphael",36,2024-01-20,"IKEA Foundation ",0.000284220997615702,0.693147180559945,0.000197006983153259
"149","Learnings","shelter",36,2024-01-20,"IKEA Foundation ",0.000284220997615702,0.693147180559945,0.000197006983153259
