,cat,word,n,date,institution,tf,idf,tf_idf
79,Grants,baselines,66,1/16/2024,Mc Arthur Foundation,0.001782146,0,0
80,Grants,plan,66,1/16/2024,Mc Arthur Foundation,0.001782146,0,0
81,Grants,contribution,65,1/16/2024,Mc Arthur Foundation,0.001755144,0,0
82,Grants,increased,65,1/16/2024,Mc Arthur Foundation,0.001755144,0,0
83,Grants,installed,65,1/16/2024,Mc Arthur Foundation,0.001755144,0,0
84,Grants,source,65,1/16/2024,Mc Arthur Foundation,0.001755144,0,0
85,Grants,number,63,1/16/2024,Mc Arthur Foundation,0.001701139,0,0
86,Grants,countries,62,1/16/2024,Mc Arthur Foundation,0.001674137,0,0
87,Grants,friendly,62,1/16/2024,Mc Arthur Foundation,0.001674137,0,0
88,Grants,accord,60,1/16/2024,Mc Arthur Foundation,0.001620133,0,0
89,Grants,baseline,59,1/16/2024,Mc Arthur Foundation,0.001593131,0,0
90,Grants,efficiency,59,1/16/2024,Mc Arthur Foundation,0.001593131,0,0
91,Grants,established,59,1/16/2024,Mc Arthur Foundation,0.001593131,0,0
92,Grants,country,58,1/16/2024,Mc Arthur Foundation,0.001566128,0,0
93,Grants,development,58,1/16/2024,Mc Arthur Foundation,0.001566128,0,0
94,Grants,economy,58,1/16/2024,Mc Arthur Foundation,0.001566128,0,0
95,Grants,expand,58,1/16/2024,Mc Arthur Foundation,0.001566128,0,0
96,Grants,generation,58,1/16/2024,Mc Arthur Foundation,0.001566128,0,0
97,Grants,methane,58,1/16/2024,Mc Arthur Foundation,0.001566128,0,0
98,Grants,policymakers,57,1/16/2024,Mc Arthur Foundation,0.001539126,0,0
99,Grants,achieve,56,1/16/2024,Mc Arthur Foundation,0.001512124,0,0
100,Grants,adopted,56,1/16/2024,Mc Arthur Foundation,0.001512124,0,0
101,Grants,coalition,55,1/16/2024,Mc Arthur Foundation,0.001485122,0,0
102,Grants,economic,55,1/16/2024,Mc Arthur Foundation,0.001485122,0,0
103,Grants,opportunities,55,1/16/2024,Mc Arthur Foundation,0.001485122,0,0
104,Grants,pollution,55,1/16/2024,Mc Arthur Foundation,0.001485122,0,0
105,Grants,continued,54,1/16/2024,Mc Arthur Foundation,0.00145812,0,0
106,Grants,including,54,1/16/2024,Mc Arthur Foundation,0.00145812,0,0
107,Grants,landscape,54,1/16/2024,Mc Arthur Foundation,0.00145812,0,0
108,Grants,policymaker,54,1/16/2024,Mc Arthur Foundation,0.00145812,0,0
109,Grants,deployment,53,1/16/2024,Mc Arthur Foundation,0.001431117,0,0
110,Grants,funding,53,1/16/2024,Mc Arthur Foundation,0.001431117,0,0
111,Grants,significant,53,1/16/2024,Mc Arthur Foundation,0.001431117,0,0
112,Grants,million,52,1/16/2024,Mc Arthur Foundation,0.001404115,0,0
113,Grants,nations,52,1/16/2024,Mc Arthur Foundation,0.001404115,0,0
114,Grants,assess,51,1/16/2024,Mc Arthur Foundation,0.001377113,0,0
115,Grants,companies,51,1/16/2024,Mc Arthur Foundation,0.001377113,0,0
116,Grants,protection,51,1/16/2024,Mc Arthur Foundation,0.001377113,0,0
117,Grants,role,51,1/16/2024,Mc Arthur Foundation,0.001377113,0,0
118,Grants,year,51,1/16/2024,Mc Arthur Foundation,0.001377113,0,0
119,Grants,ministry,50,1/16/2024,Mc Arthur Foundation,0.001350111,0,0
120,Grants,reduce,50,1/16/2024,Mc Arthur Foundation,0.001350111,0,0
121,Grants,regulations,50,1/16/2024,Mc Arthur Foundation,0.001350111,0,0
122,Grants,community,49,1/16/2024,Mc Arthur Foundation,0.001323108,0,0
123,Grants,evaluation,49,1/16/2024,Mc Arthur Foundation,0.001323108,0,0
124,Grants,grassroots,49,1/16/2024,Mc Arthur Foundation,0.001323108,0,0
125,Grants,growth,49,1/16/2024,Mc Arthur Foundation,0.001323108,0,0
126,Grants,increase,49,1/16/2024,Mc Arthur Foundation,0.001323108,0,0
127,Grants,trajectory,49,1/16/2024,Mc Arthur Foundation,0.001323108,0,0
128,Grants,measures,48,1/16/2024,Mc Arthur Foundation,0.001296106,0,0
129,Grants,key,47,1/16/2024,Mc Arthur Foundation,0.001269104,0,0
130,Grants,include,46,1/16/2024,Mc Arthur Foundation,0.001242102,0,0
131,Grants,increasing,46,1/16/2024,Mc Arthur Foundation,0.001242102,0,0
132,Grants,made,46,1/16/2024,Mc Arthur Foundation,0.001242102,0,0
133,Grants,positive,46,1/16/2024,Mc Arthur Foundation,0.001242102,0,0
134,Grants,private,46,1/16/2024,Mc Arthur Foundation,0.001242102,0,0
135,Grants,agency,45,1/16/2024,Mc Arthur Foundation,0.0012151,0,0
136,Grants,central,45,1/16/2024,Mc Arthur Foundation,0.0012151,0,0
137,Grants,domestic,45,1/16/2024,Mc Arthur Foundation,0.0012151,0,0
138,Grants,environment,45,1/16/2024,Mc Arthur Foundation,0.0012151,0,0
139,Grants,major,45,1/16/2024,Mc Arthur Foundation,0.0012151,0,0
140,Grants,focused,44,1/16/2024,Mc Arthur Foundation,0.001188097,0,0
141,Grants,initiative,44,1/16/2024,Mc Arthur Foundation,0.001188097,0,0
142,Grants,wind,44,1/16/2024,Mc Arthur Foundation,0.001188097,0,0
143,Grants,working,44,1/16/2024,Mc Arthur Foundation,0.001188097,0,0
144,Grants,addition,43,1/16/2024,Mc Arthur Foundation,0.001161095,0,0
145,Grants,learning,43,1/16/2024,Mc Arthur Foundation,0.001161095,0,0
146,Grants,sources,43,1/16/2024,Mc Arthur Foundation,0.001161095,0,0
147,Grants,targets,43,1/16/2024,Mc Arthur Foundation,0.001161095,0,0
148,Grants,goals,42,1/16/2024,Mc Arthur Foundation,0.001134093,0,0
149,Grants,grants,42,1/16/2024,Mc Arthur Foundation,0.001134093,0,0
150,Grants,supported,42,1/16/2024,Mc Arthur Foundation,0.001134093,0,0
151,Grants,track,42,1/16/2024,Mc Arthur Foundation,0.001134093,0,0
152,Grants,approach,41,1/16/2024,Mc Arthur Foundation,0.001107091,0,0
153,Grants,grantee,41,1/16/2024,Mc Arthur Foundation,0.001107091,0,0
154,Grants,science,41,1/16/2024,Mc Arthur Foundation,0.001107091,0,0
155,Grants,narratives,40,1/16/2024,Mc Arthur Foundation,0.001080089,0,0
156,Grants,plants,40,1/16/2024,Mc Arthur Foundation,0.001080089,0,0
157,Grants,protagonist,40,1/16/2024,Mc Arthur Foundation,0.001080089,0,0
158,Grants,air,39,1/16/2024,Mc Arthur Foundation,0.001053086,0,0
159,Grants,candidate,39,1/16/2024,Mc Arthur Foundation,0.001053086,0,0
160,Grants,implementation,39,1/16/2024,Mc Arthur Foundation,0.001053086,0,0
161,Grants,measure,39,1/16/2024,Mc Arthur Foundation,0.001053086,0,0
162,Grants,production,39,1/16/2024,Mc Arthur Foundation,0.001053086,0,0
163,Grants,proportion,39,1/16/2024,Mc Arthur Foundation,0.001053086,0,0
164,Grants,united,39,1/16/2024,Mc Arthur Foundation,0.001053086,0,0
165,Grants,affect,38,1/16/2024,Mc Arthur Foundation,0.001026084,0,0
166,Grants,candidates,38,1/16/2024,Mc Arthur Foundation,0.001026084,0,0
167,Grants,reduced,38,1/16/2024,Mc Arthur Foundation,0.001026084,0,0
168,Grants,average,37,1/16/2024,Mc Arthur Foundation,0.000999082,0,0
169,Grants,identified,37,1/16/2024,Mc Arthur Foundation,0.000999082,0,0
170,Grants,partnerships,37,1/16/2024,Mc Arthur Foundation,0.000999082,0,0
171,Grants,philanthropic,37,1/16/2024,Mc Arthur Foundation,0.000999082,0,0
172,Grants,program,37,1/16/2024,Mc Arthur Foundation,0.000999082,0,0
173,Grants,specific,37,1/16/2024,Mc Arthur Foundation,0.000999082,0,0
174,Grants,supporting,37,1/16/2024,Mc Arthur Foundation,0.000999082,0,0
175,Grants,temperature,37,1/16/2024,Mc Arthur Foundation,0.000999082,0,0
176,Grants,electric,36,1/16/2024,Mc Arthur Foundation,0.00097208,0,0
177,Grants,indian,36,1/16/2024,Mc Arthur Foundation,0.00097208,0,0
178,Grants,megawatts,36,1/16/2024,Mc Arthur Foundation,0.00097208,0,0
179,Grants,points,36,1/16/2024,Mc Arthur Foundation,0.00097208,0,0
180,Grants,scheme,36,1/16/2024,Mc Arthur Foundation,0.00097208,0,0
181,Grants,trading,36,1/16/2024,Mc Arthur Foundation,0.00097208,0,0
182,Grants,approximately,35,1/16/2024,Mc Arthur Foundation,0.000945077,0,0
183,Grants,broaden,35,1/16/2024,Mc Arthur Foundation,0.000945077,0,0
184,Grants,engage,35,1/16/2024,Mc Arthur Foundation,0.000945077,0,0
185,Grants,investments,35,1/16/2024,Mc Arthur Foundation,0.000945077,0,0
186,Grants,markets,35,1/16/2024,Mc Arthur Foundation,0.000945077,0,0
187,Grants,rooftop,35,1/16/2024,Mc Arthur Foundation,0.000945077,0,0
188,Grants,barriers,34,1/16/2024,Mc Arthur Foundation,0.000918075,0,0
189,Grants,launch,34,1/16/2024,Mc Arthur Foundation,0.000918075,0,0
190,Grants,levels,34,1/16/2024,Mc Arthur Foundation,0.000918075,0,0
191,Grants,participation,34,1/16/2024,Mc Arthur Foundation,0.000918075,0,0
192,Grants,research,34,1/16/2024,Mc Arthur Foundation,0.000918075,0,0
193,Grants,target,34,1/16/2024,Mc Arthur Foundation,0.000918075,0,0
194,Grants,transportation,34,1/16/2024,Mc Arthur Foundation,0.000918075,0,0
195,Grants,variety,34,1/16/2024,Mc Arthur Foundation,0.000918075,0,0
196,Grants,challenges,33,1/16/2024,Mc Arthur Foundation,0.000891073,0,0
