,cat,word,n,date,institution,tf,idf,tf_idf
133,About,agive,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
134,About,alead,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
135,About,arenew,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
136,About,arrange,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
137,About,asimplicity,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
138,About,atogetherness,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
139,About,beliefs,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
140,About,bribe,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
141,About,bribes,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
142,About,bullying,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
143,About,complies,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
144,About,consciousness,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
145,About,contradicts,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
146,About,dare,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
147,About,humility,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
148,About,judgment,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
149,About,kickback,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
150,About,kickbacks,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
151,About,legitimate,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
152,About,nacting,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
153,About,nappear,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
154,About,nassessing,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
155,About,navoiding,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
156,About,naware,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
157,About,nchoice,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
158,About,ncomply,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
159,About,nconfidential,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
160,About,ncopyrights,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
161,About,ncornerstone,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
